list_title,url,price,area,category,prop_type,prop_title1,prop_title2,bedrooms,bathroom,facilities,size,size_unit
"Office unit sect 1, wangsa maju",https://www.mudah.my/Office+unit+sect+1+wangsa+maju-83710336.htm,330000,Wangsa Maju,Commercial,Office space,Leasehold,Non Bumi Lot,,,,1760.0,sq.ft.
Cengal Condo 980sf Bandar Sri Permaisuri Cheras BelowMarket 100%F/LOAN,https://www.mudah.my/Cengal+Condo+980sf+Bandar+Sri+Permaisuri+Cheras+BelowMarket+100+F+LOAN-83710326.htm,350000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",980.0,sq.ft.
Suasana Lumayan Condo 1142sf 3r2b Sri Permaisuri Cheras 100%LOAN reno,https://www.mudah.my/Suasana+Lumayan+Condo+1142sf+3r2b+Sri+Permaisuri+Cheras+100+LOAN+reno-83329074.htm,410000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",1142.0,sq.ft.
"[DEPOSIT FLEXIBLE] Condo Sentul Utama, Sentul",https://www.mudah.my/+DEPOSIT+FLEXIBLE+Condo+Sentul+Utama+Sentul-83180554.htm,315000,Sentul,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Bumi Lot,3,2,"Swimming Pool, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",877.0,sq.ft.
"Taman melewar, gombak 2 storey corner lot-non bumi lot",https://www.mudah.my/Taman+melewar+gombak+2+storey+corner+lot+non+bumi+lot-59029400.htm,700000,Gombak,Houses,Double storey,Leasehold,Non Bumi Lot,5,4,,3800.0,sq.ft.
Idaman Sutera condo setapak jalan gombak freehold 845sf below market,https://www.mudah.my/Idaman+Sutera+condo+setapak+jalan+gombak+freehold+845sf+below+market-83709552.htm,228000,Setapak,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",845.0,sq.ft.
"PREMIUM CORNER LOT BUKIT SETIAWANGSA, Setiawangsa KL",https://www.mudah.my/PREMIUM+CORNER+LOT+BUKIT+SETIAWANGSA+Setiawangsa+KL-83709615.htm,1888000,Setiawangsa,Houses,Double storey,Freehold,Non Bumi Lot,3,3,,2500.0,sq.ft.
[ THE MOST CHEAP UNIT ] Setia Sky residence (with PRIVATE LIFT),https://www.mudah.my/+THE+MOST+CHEAP+UNIT+Setia+Sky+residence+with+PRIVATE+LIFT+-77325175.htm,900000,KL City,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,3,3,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",1055.0,sq.ft.
"Pangsapuri JATI SELATAN, 2nd FLOOR, Renovated Unit, Desa Petaling",https://www.mudah.my/Pangsapuri+JATI+SELATAN+2nd+FLOOR+Renovated+Unit+Desa+Petaling-83709911.htm,270000,Desa Petaling,Apartments,Apartment/ Flat,Leasehold,Bumi Lot,3,2,"Playground, 24 Hour Security, Balcony/Patio, Cable TV",826.0,sq.ft.
Ampang Impiana Condo IMPIANA ON THE WATERFRONT Jalan Ampang,https://www.mudah.my/Ampang+Impiana+Condo+IMPIANA+ON+THE+WATERFRONT+Jalan+Ampang-83709909.htm,700000,Ampang Hilir,Apartments,Apartment/ Flat,Freehold,Non Bumi Lot,5,4,"Balcony/Patio, 24 Hour Security, Playground, Gymnasium, , Mini Market",1865.0,sq.ft.
EVERYONE CAN BUY Double Storey Terrace House Taman Sri Bahagia Cheras,https://www.mudah.my/EVERYONE+CAN+BUY+Double+Storey+Terrace+House+Taman+Sri+Bahagia+Cheras-83709813.htm,595000,Cheras,Houses,Double storey,Freehold,Non Bumi Lot,4,3,"Mini Market, Playground",1260.0,sq.ft.
Seasons Garden Residences 770sqf Wangsa Maju Blw MV Hot Rental KL,https://www.mudah.my/Seasons+Garden+Residences+770sqf+Wangsa+Maju+Blw+MV+Hot+Rental+KL-83709383.htm,410000,Wangsa Maju,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",770.0,sq.ft.
"Vista Damai Condo, KLCC unit For Sale.Suitable for invest and own stay",https://www.mudah.my/Vista+Damai+Condo+KLCC+unit+For+Sale+Suitable+for+invest+and+own+stay-83709785.htm,580000,KLCC,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,2,1,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security",700.0,sq.ft.
